title,url
"Freestyle - 4tel w/ Joseph Steinschleuder, Craze, Vyrus, Freezy, Heinz87 uvm | BRB 2019 - Sommerzeit","https://www.youtube.com/watch?v=rjYCexRm32k"
"Freestyle - 8tel w/ Joseph Steinschleuder, Craze, Vyrus, Freezy, Heinz87 uvm | BRB 2019 - Sommerzeit","https://www.youtube.com/watch?v=zsUVF0A7I8E"
"PRYME - JETZT NOCH NICHT","https://www.youtube.com/watch?v=68NzDnUC0aI"
"Lyrico & Merlin vs Joseph Steinschleuder & Sizyphos | BRB 2019 - Sommerzeit","https://www.youtube.com/watch?v=2LInOOW9WXs"
"Musio vs Freezy (U-16 Battle) | BRB 2019 - Sommerzeit","https://www.youtube.com/watch?v=1fKAfX6koXI"
"TD1 vs Johnny (Reupload) | BRB 2019 - Sommerzeit","https://www.youtube.com/watch?v=M1LELtwIWTs"
"BRB 2019 - Winterzeit | PPV-Trailer w/ Mc Geuner, Leanders, Papa TR, Balavababa, Natif, Satàn uvm","https://www.youtube.com/watch?v=R7m1UO8cUDk"
"Rossbach vs Notyzze - Freestyle - Finale | BRB 2019 - Relegation","https://www.youtube.com/watch?v=KqSViSoSDds"
"Freestyle - Halbfinale & Platz 3 w/ FALK, Notyzze, Pryme & Rossbach | BRB 2019 - Relegation","https://www.youtube.com/watch?v=35XEStQwUEc"
"Freestyle - 4tel w/ Natif, Desperados, FALK, Pryme, Notyzze, Rossbach, Rajmund & Chello","https://www.youtube.com/watch?v=A9y9R9y3diI"
"Freestyle - 8tel w/ Notyzze, Emba, FALK, Barracuda, Ryko-J, Natif, Pryme uvm | BRB 2019 - Relegation","https://www.youtube.com/watch?v=9hUPJUD7Ct0"
"Leonidas vs Teach | BRB 2019 - Relegation","https://www.youtube.com/watch?v=mB_uyBHhTVw"
"FALK - Lasset (prod. Tony Crisp) (Musikvideo)","https://www.youtube.com/watch?v=a7IaEQ_xObM"
"BRB 2019 | Relegation - Hopeless MC vs Desperados","https://www.youtube.com/watch?v=z8HhbWBNzhE"
"BRB 2019 - Herbstzeit - PPV-Trailer w/ Vyrus, B-Dad, FALK, Skilla199, DeeLah, Heinz87 uvm","https://www.youtube.com/watch?v=42yMRhPcQlQ"
"Indoor Stan vs Barracuda (On-Beat-Battle) | BRB 2019 - Relegation","https://www.youtube.com/watch?v=EuW28qkV44Q"
"Leanders vs Rolling G |  BRB 2019 -  Relegation","https://www.youtube.com/watch?v=pyIDsxtpnj8"
"CrazyO vs Meehtadon  | BRB 2019 - Relegation","https://www.youtube.com/watch?v=TTmIPaufU2k"
"Jepain vs P-Haze |  BRB 2019 - Relegation","https://www.youtube.com/watch?v=cZJWroXfzO0"
"Notyzze - Forgotten RMX (Musikvideo)","https://www.youtube.com/watch?v=UTZlr3FUFQM"
"FourSeven vs DXXDSTXCK  - Freestyle-Battle (Finale)  |  BRB 2019 - Verlängerung","https://www.youtube.com/watch?v=SFcdevcXvhY"
"BRB 2019 | Verlängerung - Freestyle - Halbfinale w/ DXXDSTXCK, FourSeven, Nimeon & Ryko-J","https://www.youtube.com/watch?v=kdtpNytKIaU"
"BRB 2019 | Verlängerung - Freestyle - 4tel w/ Ryko-J, DXXDSTXCK, FourSeven, Desperados, Natif uvm","https://www.youtube.com/watch?v=bwh2QQAVqSA"
"BRB 2019 | Verlängerung - Freestyle - 8tel w/ FourSeven, Brian Damage, Nimeon, DXXDSTXCK, FALK uvm","https://www.youtube.com/watch?v=exGySHbo9A0"
"BRB 2019 | Summerslam - PPV-Trailer w/ T-Way, Zeptah, Mc Geuner, Renetixx, Proton, Battleslut, Teach","https://www.youtube.com/watch?v=UcllDv60CYI"
"BRB 2019 | Verlängerung - Mc Geuner vs A-Ron","https://www.youtube.com/watch?v=rCoyDPIxaoE"
"MC GEUNER - WESTSIDE & CHILL feat. ZeY","https://www.youtube.com/watch?v=RmRGFkzPChU"
"BRB 2019 | Verlängerung - Brian Damage vs FALK","https://www.youtube.com/watch?v=Ih1Ol9mQh1o"
"BRB 2019 | Verlängerung - Seva vs Battleslut Galactica","https://www.youtube.com/watch?v=B6FaxNeiFUg"
"BRB 2019 | Verlängerung - Heinz87 vs Sic68","https://www.youtube.com/watch?v=ersDIn7BMXk"
"BRB 2019 | Verlängerung - Leonidas vs Continue","https://www.youtube.com/watch?v=dH5ZZ2klz5w"
"BRB 2019 | Verlängerung - Mäs vs phillie. (On-Beat-Match)","https://www.youtube.com/watch?v=V9MmYt45Ufc"
"BRB 2019 | Verlängerung - DXXDSTXCK & Rolling G vs Rossbach & Flakit","https://www.youtube.com/watch?v=aA5EfDMNpww"
"BRB 2019 | Verlängerung - Little Sedo vs Two Eyez","https://www.youtube.com/watch?v=YC4kKQLd5DQ"
"BRB 2019 | Sommerzeit 2019 - PPV-Trailer","https://www.youtube.com/watch?v=s_enarVIQ2U"
"BRB 2019 | Nachspielzeit - Merlin vs Notyzze (Freestyle Bonus Duell)","https://www.youtube.com/watch?v=ci5NvI4pQyQ"
"Mr. Whyte feat. Jolle & SHMO - Down mit der Crew","https://www.youtube.com/watch?v=iQ7oPyGWerg"
"BRB 2019 | Nachspielzeit - Freestyle - Finale - Notyzze vs Mr. Whyte","https://www.youtube.com/watch?v=pnpfHM1hrWw"
"BRB 2019 | Nachspielzeit - Freestyle - Halbfinale & Platz 3 w/ McGeuner, Mr. Whyte, Notyzze & Vyrus","https://www.youtube.com/watch?v=OoNE7AQ6T70"
"BRB 2019 | Nachspielzeit - Freestyle - 4tel w/ Vyrus, Desperados, Notyzze, McGeuner, DXXDSTXCK uvm","https://www.youtube.com/watch?v=tP6QKj08SD4"
"BRB 2019 | Nachspielzeit - Freestyle - 8tel w/ Mave, Notyzze, Vyrus, FALK, McGeuner, DXXDSTXCK uvm","https://www.youtube.com/watch?v=MHL9TphocLA"
"BRB 2019 | Nachspielzeit - Seva vs Zeptah (Mixed-Battle)","https://www.youtube.com/watch?v=JRn5eXoZB00"
"BRB 2019 | Nachspielzeit - Robscure vs Natif (Reupload)","https://www.youtube.com/watch?v=46cDURRayOI"
"BRB 2019 | Nachspielzeit - Flakit vs RenetiXX","https://www.youtube.com/watch?v=kN-aBkx7k34"
"BRB 2019 | Nachspielzeit - Rolling G. vs Desperados","https://www.youtube.com/watch?v=pvd9fr-HNxw"
"BRB 2019 | Relegation - PPV-Trailer","https://www.youtube.com/watch?v=QPwrHp8Sde8"
"BRB 2019 | Nachspielzeit - Leanders vs Derka VMS","https://www.youtube.com/watch?v=tO9PmkTdIko"
"BRB 2019 | 10. Spieltag - Freestyle - Finale - Merlin vs Eynak","https://www.youtube.com/watch?v=Dzm1MU7UuPE"
"BRB 2019 | 10. Spieltag - Freestyle - Halbfinale & Platz 3 w/ Barracuda, Merlin, Eynak & Natif","https://www.youtube.com/watch?v=ccQi6PUTPx0"
"BRB 2019 | 10. Spieltag - Freestyle - 4tel w/ DXXDSTXCK, Merlin, Mr. Whyte, Barracuda, Eynak uvm","https://www.youtube.com/watch?v=imqm34cwjkg"
"BRB 2019 | 10. Spieltag - Freestyle - 8tel w/ Heinz87, Natif, Eynak, Merlin, Seva, DXXDSTXCK uvm","https://www.youtube.com/watch?v=i_CDelZ4KtA"
"BRB 2019 | 10. Spieltag - Kato vs T-Way (Gaming-Bars)","https://www.youtube.com/watch?v=6tfd6yfa-dE"
"BRB 2019 | Nachspielzeit - PPV-Trailer (Fourseven, Brian Damage, Falk, McGeuner, Dxxdstxck uvm.)","https://www.youtube.com/watch?v=Nr_76PHCNjs"
"BRB 2019 | 10. Spieltag - Mr. Whyte vs DXXDSTXCK","https://www.youtube.com/watch?v=ZnW_CbjqJlw"
"BRB 2019 | 10. Spieltag - Leonidas vs Eynak","https://www.youtube.com/watch?v=uK9ymafujIs"
"BRB 2019 | 10. Spieltag - Phil Urban vs Continue","https://www.youtube.com/watch?v=mcy0DqaFhSE"
"BRB 2019 | 9. Spieltag - Sic68 vs Andrez","https://www.youtube.com/watch?v=_eYH8LVaa_I"
"BRB 2019 | 9. Spieltag - Shker vs Senad","https://www.youtube.com/watch?v=cvO4QBs3qa8"
"BRB 2019 | 9. Spieltag - Ryko-J vs Tobi High","https://www.youtube.com/watch?v=MrjupA_pMP0"
"BRB 2019 | 9. Spieltag - Desperados vs Leanders","https://www.youtube.com/watch?v=eHknxJEojvM"
"BRB 2019 | Nachspielzeit - PPV-Trailer w/ Robscure, Natif, Zeptah, Notyzze, Rolling G., Renetixx uvm","https://www.youtube.com/watch?v=mrl3_YWWQqs"
